тип_массива,размер,алгоритм,threshold,время_мкс
random,500,merge,0,23
random,500,hybrid,5,17
random,500,hybrid,10,15
random,500,hybrid,20,15
random,500,hybrid,30,13
random,500,hybrid,50,15
reversed,500,merge,0,14
reversed,500,hybrid,5,10
reversed,500,hybrid,10,10
reversed,500,hybrid,20,10
reversed,500,hybrid,30,10
reversed,500,hybrid,50,16
almost,500,merge,0,15
almost,500,hybrid,5,11
almost,500,hybrid,10,9
almost,500,hybrid,20,7
almost,500,hybrid,30,7
almost,500,hybrid,50,6
random,600,merge,0,27
random,600,hybrid,5,21
random,600,hybrid,10,19
random,600,hybrid,20,18
random,600,hybrid,30,16
random,600,hybrid,50,19
reversed,600,merge,0,17
reversed,600,hybrid,5,13
reversed,600,hybrid,10,12
reversed,600,hybrid,20,13
reversed,600,hybrid,30,13
reversed,600,hybrid,50,18
almost,600,merge,0,19
almost,600,hybrid,5,13
almost,600,hybrid,10,10
almost,600,hybrid,20,9
almost,600,hybrid,30,9
almost,600,hybrid,50,7
random,700,merge,0,28
random,700,hybrid,5,22
random,700,hybrid,10,21
random,700,hybrid,20,20
random,700,hybrid,30,20
random,700,hybrid,50,21
reversed,700,merge,0,18
reversed,700,hybrid,5,14
reversed,700,hybrid,10,13
reversed,700,hybrid,20,13
reversed,700,hybrid,30,14
reversed,700,hybrid,50,22
almost,700,merge,0,20
almost,700,hybrid,5,15
almost,700,hybrid,10,14
almost,700,hybrid,20,12
almost,700,hybrid,30,11
almost,700,hybrid,50,9
random,800,merge,0,32
random,800,hybrid,5,27
random,800,hybrid,10,25
random,800,hybrid,20,23
random,800,hybrid,30,23
random,800,hybrid,50,25
reversed,800,merge,0,21
reversed,800,hybrid,5,16
reversed,800,hybrid,10,15
reversed,800,hybrid,20,15
reversed,800,hybrid,30,18
reversed,800,hybrid,50,28
almost,800,merge,0,24
almost,800,hybrid,5,18
almost,800,hybrid,10,16
almost,800,hybrid,20,13
almost,800,hybrid,30,12
almost,800,hybrid,50,9
random,900,merge,0,32
random,900,hybrid,5,27
random,900,hybrid,10,25
random,900,hybrid,20,24
random,900,hybrid,30,24
random,900,hybrid,50,21
reversed,900,merge,0,21
reversed,900,hybrid,5,17
reversed,900,hybrid,10,15
reversed,900,hybrid,20,16
reversed,900,hybrid,30,19
reversed,900,hybrid,50,19
almost,900,merge,0,24
almost,900,hybrid,5,18
almost,900,hybrid,10,16
almost,900,hybrid,20,14
almost,900,hybrid,30,25
almost,900,hybrid,50,22
random,1000,merge,0,32
random,1000,hybrid,5,18
random,1000,hybrid,10,16
random,1000,hybrid,20,16
random,1000,hybrid,30,14
random,1000,hybrid,50,15
reversed,1000,merge,0,14
reversed,1000,hybrid,5,10
reversed,1000,hybrid,10,10
reversed,1000,hybrid,20,10
reversed,1000,hybrid,30,10
reversed,1000,hybrid,50,11
almost,1000,merge,0,16
almost,1000,hybrid,5,13
almost,1000,hybrid,10,11
almost,1000,hybrid,20,10
almost,1000,hybrid,30,9
almost,1000,hybrid,50,9
random,1100,merge,0,24
random,1100,hybrid,5,19
random,1100,hybrid,10,18
random,1100,hybrid,20,17
random,1100,hybrid,30,16
random,1100,hybrid,50,17
reversed,1100,merge,0,14
reversed,1100,hybrid,5,11
reversed,1100,hybrid,10,10
reversed,1100,hybrid,20,17
reversed,1100,hybrid,30,26
reversed,1100,hybrid,50,31
almost,1100,merge,0,52
almost,1100,hybrid,5,39
almost,1100,hybrid,10,35
almost,1100,hybrid,20,33
almost,1100,hybrid,30,32
almost,1100,hybrid,50,27
random,1200,merge,0,62
random,1200,hybrid,5,51
random,1200,hybrid,10,48
random,1200,hybrid,20,46
random,1200,hybrid,30,42
random,1200,hybrid,50,45
reversed,1200,merge,0,40
reversed,1200,hybrid,5,31
reversed,1200,hybrid,10,29
reversed,1200,hybrid,20,30
reversed,1200,hybrid,30,29
reversed,1200,hybrid,50,33
almost,1200,merge,0,48
almost,1200,hybrid,5,37
almost,1200,hybrid,10,33
almost,1200,hybrid,20,30
almost,1200,hybrid,30,30
almost,1200,hybrid,50,27
random,1300,merge,0,68
random,1300,hybrid,5,56
random,1300,hybrid,10,53
random,1300,hybrid,20,51
random,1300,hybrid,30,48
random,1300,hybrid,50,51
reversed,1300,merge,0,44
reversed,1300,hybrid,5,30
reversed,1300,hybrid,10,28
reversed,1300,hybrid,20,29
reversed,1300,hybrid,30,28
reversed,1300,hybrid,50,29
almost,1300,merge,0,44
almost,1300,hybrid,5,34
almost,1300,hybrid,10,30
almost,1300,hybrid,20,28
almost,1300,hybrid,30,27
almost,1300,hybrid,50,24
random,1400,merge,0,63
random,1400,hybrid,5,54
random,1400,hybrid,10,50
random,1400,hybrid,20,27
random,1400,hybrid,30,24
random,1400,hybrid,50,24
reversed,1400,merge,0,21
reversed,1400,hybrid,5,17
reversed,1400,hybrid,10,15
reversed,1400,hybrid,20,15
reversed,1400,hybrid,30,17
reversed,1400,hybrid,50,34
almost,1400,merge,0,48
almost,1400,hybrid,5,38
almost,1400,hybrid,10,35
almost,1400,hybrid,20,32
almost,1400,hybrid,30,29
almost,1400,hybrid,50,26
random,1500,merge,0,69
random,1500,hybrid,5,60
random,1500,hybrid,10,48
random,1500,hybrid,20,46
random,1500,hybrid,30,35
random,1500,hybrid,50,28
reversed,1500,merge,0,24
reversed,1500,hybrid,5,20
reversed,1500,hybrid,10,18
reversed,1500,hybrid,20,17
reversed,1500,hybrid,30,18
reversed,1500,hybrid,50,19
almost,1500,merge,0,40
almost,1500,hybrid,5,38
almost,1500,hybrid,10,34
almost,1500,hybrid,20,32
almost,1500,hybrid,30,29
almost,1500,hybrid,50,25
random,1600,merge,0,63
random,1600,hybrid,5,55
random,1600,hybrid,10,51
random,1600,hybrid,20,48
random,1600,hybrid,30,47
random,1600,hybrid,50,48
reversed,1600,merge,0,42
reversed,1600,hybrid,5,36
reversed,1600,hybrid,10,32
reversed,1600,hybrid,20,32
